30
 0 0 -1 -1 -1 0
pnxgf 0 1 7 7 9404 3
ajrdf 0 1 9 10 6483 3
ssrqr 0 1 7 2 8479 2
mhxpc 0 0 1 3 5874 3
lwwqg 0 2 6 5 9608 3
ptzwu 0 2 2 6 13987 5
dohaw 0 0 9 9 13497 5
ocffg 0 0 5 1 7623 1
myado 0 1 7 2 5913 3
tsxqj 0 1 0 4 7163 3
adgyt 0 0 0 5 10262 1
oqono 0 2 6 3 12645 0
iqcrs 0 2 9 2 5016 0
ygxfl 0 1 3 3 6589 2
fsjfx 0 1 8 1 5952 0
ybrvt 0 1 6 2 13743 1
dxxjy 0 2 2 7 12034 0
szqhn 0 0 1 5 9107 1
erfjj 0 0 10 10 7640 2
yhpxp 0 2 3 0 7273 2
acjkj 0 1 2 3 9390 5
ikmah 0 1 9 5 7176 5
gfhfo 0 0 8 7 7821 3
hznxg 0 2 0 10 9935 1
cbykk 0 2 6 3 10533 5
hkuyh 0 1 0 6 13659 5
lylwk 0 2 6 3 9014 2
uewhg 0 2 9 8 11609 4
gplnu 0 0 6 0 13592 2
buvrt 0 1 1 8 9564 5
