Gifts exchanged by Couple1
Value , Price, Type
6 , 237 , 0
8 , 689 , 0
9 , 488 , 0
15 , 730 , 0
24 , 1166 , 0
26 , 519 , 0
30 , 459 , 0
38 , 985 , 0
40 , 945 , 0
42 , 434 , 0



Gifts exchanged by Couple2
Value , Price, Type
6 , 237 , 0
8 , 689 , 0
9 , 488 , 0
15 , 730 , 0
24 , 1166 , 0
26 , 519 , 0
30 , 459 , 0
38 , 985 , 0
40 , 945 , 0
42 , 434 , 0



Gifts exchanged by Couple3
Value , Price, Type
6 , 237 , 0
8 , 689 , 0
9 , 488 , 0
15 , 730 , 0
24 , 1166 , 0
26 , 519 , 0
30 , 459 , 0
38 , 985 , 0
40 , 945 , 0
42 , 434 , 0



Gifts exchanged by Couple4
Value , Price, Type
6 , 237 , 0
8 , 689 , 0
9 , 488 , 0
15 , 730 , 0
24 , 1166 , 0
26 , 519 , 0
30 , 459 , 0
38 , 985 , 0
40 , 945 , 0
42 , 434 , 0



